7zip 25.01-1.1
a52dec 0.8.0-2.1
aalib 1.4rc5-19.1
abseil-cpp 20250814.1-1.1
accounts-qml-module 0.7-6.1
accountsservice 23.13.9-2.1
acl 2.3.2-1.1
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3.1
alsa-card-profiles 1:1.4.9-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1.1
ananicy-cpp 1.1.1-9.1
aom 3.13.1-1.1
appstream 1.1.1-1.1
appstream-glib 0.8.3-2.3
appstream-qt 1.1.1-1.1
archlinux-keyring 20251027-2
argon2 20190702-6.2
aribb24 1.0.3-4.1
aribb25 0.2.7-3.1
ark 25.08.3-1.1
at-spi2-core 2.58.1-1.1
attica 6.19.0-1.1
attr 2.5.2-1.1
audit 4.1.2-1.1
aurorae 6.5.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1.1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1.1
babl 0.1.116-1.1
baloo 6.19.0-1.1
baloo-widgets 25.08.3-1.1
base 3-2
base-devel 1-2
bash 5.3.3-3
bash-completion 2.17.0-1
bash-language-server 5.6.0-1
bat 0.26.0-1.1
bcg729 1.1.1-2.1
bind 9.20.15-1.1
binutils 2.45+r29+g2b2e51a31ec7-2
bison 3.8.2-8.1
bitwarden 2025.10.0-1.1
blas 3.12.1-2.1
bluedevil 1:6.5.2-1
bluez 5.84-1.1
bluez-hid2hci 5.84-1.1
bluez-libs 5.84-1.1
bluez-qt 6.19.0-1.1
bluez-utils 5.84-1.1
bolt 0.9.10-1.1
boost-libs 1.89.0-2.1
bpf 6.17-3
breeze 6.5.2-1
breeze-gtk 6.5.2-1
breeze-icons 6.19.0-1.1
brotli 1.1.0-3.1
btop 1.4.5-1.1
btrfs-progs 6.17-1
bubblewrap 0.11.0-1.1
bzip2 1.0.8-6.1
c-ares 1.34.5-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.117-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-2.1
cachyos-alacritty-config 1.0-1
cachyos-ananicy-rules 1:1.1.4-1
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 15-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-5
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.18.3-1
cachyos-hooks 2025.09.22-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.16.1-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.5.1-1
cachyos-plymouth-bootanimation 2-1
cachyos-rate-mirrors 15-1
cachyos-settings 1:1.2.12-1
cachyos-themes-sddm 1.0-3
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r17.022d739-1
cairo 1.18.4-1.1
cairomm-1.16 1.18.0-2.1
cantarell-fonts 1:0.303.1-2
capitaine-cursors 4-3
cblas 3.12.1-2.1
cdparanoia 10.2-9.1
cfitsio 1:4.6.3-1.1
char-white r3.ef1c007-1
chromaprint 1.6.0-2.1
chromium 142.0.7444.134-1.1
chwd 1.16.1-1
cifs-utils 7.4-1.2
clang 21.1.5-2
clang-debug 21.1.5-2
clinfo 3.0.23.01.25-1.1
clucene 2.3.3.4-16.1
cmake 4.1.2-1.1
compiler-rt 21.1.5-1.1
composefs 1.0.8-1.1
confuse 3.3-4.1
containerd 2.2.0-1.1
convertlit 1.8-13.1
coolercontrol 3.0.1-1
coolercontrold 3.0.1-1
coreutils 9.8-2
cppdap 1.58.0-2.1
cpupower 6.17-3
cryptsetup 2.8.1-1.1
cups 2:2.4.14-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.2
curl 8.17.0-1.1
dav1d 1.5.2-1.1
db5.3 5.3.28-5.1
dbus 1.16.2-1.1
dbus-broker 37-2.1
dbus-broker-units 37-2.1
dbus-glib 0.114-1.1
dbus-units 37-2.1
dconf 0.49.0-1.1
ddcutil 2.2.1-1.1
debugedit 5.2-1.1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.36-2.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2.1
ding-libs 0.6.2-2.1
discord 1:0.0.113-1
discount 3.0.0.d-1.3
djvulibre 3.5.29-1.1
dmidecode 3.6-1.10
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
dnssec-anchors 20250524-1
docker 1:28.5.2-1.1
dolphin 25.08.3-1.1
dosfstools 4.2-5.1
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
dotnet-runtime-8.0 8.0.20.sdk120-1
dotnet-sdk 9.0.9.sdk110-1
dotnet-sdk-8.0 8.0.20.sdk120-1
dotnet-targeting-pack 9.0.9.sdk110-1
dotnet-targeting-pack-8.0 8.0.20.sdk120-1
double-conversion 3.3.1-1.1
duf 0.9.1-1.1
duktape 2.7.0-7.1
e2fsprogs 1.47.3-1.1
ebook-tools 0.2.2-9.1
editorconfig-core-c 0.12.10-1.1
efibootmgr 18-3.1
efitools 1.9.2-6.1
efivar 39-1.1
egl-gbm 1.1.2.1-1.1
egl-wayland 4:1.1.20-1.1
egl-x11 1.0.3-1.1
eglexternalplatform 1.2.1-1
electron36 36.9.3-1.1
electron37 37.5.1-1
ell 0.80-1.1
enchant 2.8.12-1.1
ethtool 1:6.15-1.1
exfatprogs 1.3.0-1.1
exiv2 0.28.7-1.2
expac 10-11.3
expat 2.7.3-1.1
eza 0.23.4-1.1
f2fs-tools 1.16.0-3.1
faac 1.31.1-1.1
faad2 2.11.2-1.2
fakeroot 1.37.1.2-1.1
fastfetch 2.54.0-1.1
fd 10.3.0-1.1
ffmpeg 2:8.0-3.1
ffmpeg4.4 4.4.6-3.1
ffmpegthumbnailer 2.2.3-4.1
ffmpegthumbs 25.08.3-1.1
fftw 3.3.10-7.1
file 5.46-5.1
filelight 25.08.3-1.1
filesystem 2025.10.12-1
findutils 4.10.0-3.1
firefox 144.0.2-1.1
fish 4.1.2-1.1
fish-autopair 1.0.4-2
fish-pure-prompt 4.11.0-1
fisher 4.4.5-1
flac 1.5.0-1.2
flashrom 1.6.0-1.1
flatpak 1:1.16.1-1.1
flex 2.6.4-5.1
fluidsynth 2.5.0-3.1
fmt 12.1.0-1.1
fontconfig 2:2.17.1-1.1
foomatic-db-engine 5:20200131-2.1
frameworkintegration 6.19.0-1.1
freeglut 3.6.0-2.1
freetype2 2.14.1-1.1
frei0r-plugins 2.5.0-1
fribidi 1.0.16-2.1
fsarchiver 0.8.8-1.1
ftgl 2.4.0-3.1
fuse-common 3.17.4-1.1
fuse2 2.9.9-5
fuse3 3.17.4-1.1
fwupd 2.0.17-1.1
fwupd-efi 1.8-1
fzf 0.66.1-1.1
gamescope 3.16.17-2
gawk 5.3.2-1.1
gc 8.2.10-2.1
gcc 15.2.1+r22+gc4e96a094636-2
gcc-libs 15.2.1+r22+gc4e96a094636-2
